epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6004,0.93878,2.90153,3.59723,1.48595,0.00444,0.95,0.07089,0.03344,0.00376,0.9,0.07176,0.04205,0.78381,1.73926,3.98613,1.3197,0,0,0
2,23.1114,0.95278,3.00406,3.47732,1.32694,0.00457,0.95,0.07407,0.03687,0.00384,0.9,0.074,0.0446,0.78166,1.70186,3.96855,1.30066,9.73514e-06,9.73514e-06,9.73514e-06
3,30.2976,0.99666,3.12441,3.44652,1.42765,0.00475,0.95,0.08139,0.0424,0.00396,0.9,0.08006,0.0502,0.76717,1.64578,3.94811,1.28441,1.67206e-05,1.67206e-05,1.67206e-05
4,37.5741,0.92212,2.46361,3.33317,1.28854,0.00518,0.95,0.09477,0.04987,0.00426,0.9,0.09236,0.05901,0.73994,1.62682,3.93416,1.25897,2.09562e-05,2.09562e-05,2.09562e-05
5,45.0735,0.77657,2.74443,3.42032,1.29142,0.00571,0.95,0.10573,0.05348,0.00464,0.9,0.10237,0.06589,0.72048,1.62113,3.92913,1.24781,2.24422e-05,2.24422e-05,2.24422e-05
6,52.2656,0.85822,2.4983,3.41188,1.24442,0.00622,0.95,0.11081,0.05708,0.00503,0.9,0.10705,0.06938,0.70143,1.58924,3.89764,1.24257,2.11784e-05,2.11784e-05,2.11784e-05
7,59.7816,0.91685,2.58056,3.36202,1.31562,0.00658,0.95,0.12044,0.06316,0.00531,0.9,0.11844,0.07665,0.68453,1.56671,3.8892,1.22767,1.7165e-05,1.7165e-05,1.7165e-05
8,67.1963,0.88439,2.65706,3.40671,1.34432,0.00711,0.95,0.13085,0.07195,0.00571,0.9,0.12841,0.08525,0.68219,1.53899,3.88815,1.22318,1.04017e-05,1.04017e-05,1.04017e-05
1,14.9139,0.60649,1.8734,3.43506,1.23351,0.00616,0.9,0.12423,0.06714,0.00462,0.85,0.12188,0.07989,0.69252,1.55131,3.8917,1.22341,0,0,0
2,22.1149,0.81156,2.04394,3.35972,1.22114,0.00654,0.9,0.13021,0.07714,0.00493,0.85,0.12709,0.0904,0.68921,1.5284,3.89148,1.22346,1.089e-05,1.089e-05,1.089e-05
